feature,missing_values,missing_pct,unique_values,minimum,p01,median,p99,maximum,standard_deviation,constant,near_constant
spx_at_1500,0,0.0,434,5035.64,5184.2896,6197.105,7540.449600000001,7572.05,625.0639139985095,False,False
vix_level_1500,0,0.0,354,13.01,13.769400000000001,17.765,38.23720000000005,50.17,4.703677188991915,False,False
spy_at_1500,0,0.0,432,501.69,516.9695780000001,617.4449999999999,751.8805,755.583,62.29695324914276,False,False
ret_open_to_1500,0,0.0,434,-0.037053063599980396,-0.021816432460262908,-0.0002931850211044251,0.017443626365400255,0.07314189733509502,0.007978900138517361,False,False
ret_last_15m,0,0.0,433,-0.007059376542917661,-0.005372253184311133,-2.1262468193061768e-05,0.003104159373224664,0.005142284458046875,0.0013369281740468076,False,False
ret_last_30m,0,0.0,434,-0.013974911037626159,-0.005774486435963026,3.409785638563978e-05,0.005233454696696432,0.006503616265409962,0.0018463069746735452,False,False
ret_last_60m,0,0.0,434,-0.015158039221509045,-0.00764099361110934,4.0205011064275986e-05,0.007442951391702443,0.013301619907382545,0.0027841606616909754,False,False
vix_ret_last_15m,0,0.0,425,-0.05012077294685979,-0.027904331411054768,-0.00167884303999416,0.04026052651455737,0.09673590504451024,0.01251932738588812,False,False
vix_ret_last_30m,0,0.0,422,-0.0575194727381666,-0.041745290354948034,-0.0033352877897322997,0.04305611703546495,0.11661631419939567,0.01675695990381075,False,False
vix_ret_last_60m,0,0.0,427,-0.09283387622149841,-0.06645940959740138,-0.004447472683083542,0.07325359556341728,0.21899736147757265,0.02615121169963849,False,False
realized_vol_30m,0,0.0,434,0.00042094148408206944,0.00048073649256853343,0.001188870205785837,0.005966144156894936,0.009993712844051218,0.0011383631734738448,False,False
realized_vol_60m,0,0.0,434,0.0006082180621652886,0.0007152911066839171,0.0018048830746378204,0.009434687602023723,0.014785777960907444,0.001555206680305835,False,False
realized_vol_120m,0,0.0,434,0.0008375751417809805,0.0011198524779083019,0.0026579116383065463,0.010259993685572164,0.042538293075860455,0.002777342175792642,False,False
rv_open_to_1500,0,0.0,434,0.0021769275390290626,0.002730782449171596,0.005691330231553929,0.02174538223634044,0.052777922143185,0.00416558393619183,False,False
spy_ret_open_to_1500,0,0.0,434,-0.03865021270072433,-0.02216065156699037,-0.00019572392686956208,0.01693409727564579,0.0759768158236056,0.008060132545636521,False,False
spy_volume_last_30m,0,0.0,434,991175.0,1143922.23,3044558.5815565,12405028.21000001,17149204.0,2141335.4656520067,False,False
spy_volume_last_60m,0,0.0,434,2180671.0,2370018.53,6081284.957369,20843010.96000001,33558330.0,3844560.274890531,False,False
spy_cum_volume_to_1500,0,0.0,434,15177340.0,16653824.64,39757593.6593995,111639260.23000002,188440560.0,19770506.788902875,False,False
spy_volume_accel_60m_vs_avg,0,0.0,434,-0.6149853890406459,-0.5457034746708664,-0.19592593719839446,2.093032099670606,3.935139755367328,0.46010989683100895,False,False
spy_dist_from_vwap_pct,0,0.0,434,-0.021804132143999455,-0.011869689581208778,0.00022301756746401225,0.00840730390484049,0.03119108225764089,0.004168168875266124,False,False
position_in_day_range,0,0.0,434,0.0,0.009761946972970953,0.5494404351341604,0.987113884109233,1.0,0.312911792985206,False,False
dist_from_day_high_pct,0,0.0,434,-0.04401164126231372,-0.025467507788064496,-0.0035896314403285334,-0.00014300358375546655,0.0,0.0055636617781385485,False,False
dist_from_day_low_pct,0,0.0,434,0.0,8.854538785869837e-05,0.0043756160608410255,0.021217237332475884,0.07679607471460637,0.005990249704292884,False,False
dist_from_open_pct,0,0.0,434,-0.037053063599980396,-0.021816432460262908,-0.0002931850211044251,0.017443626365400255,0.07314189733509502,0.007978900138517361,False,False
momentum_accel_60m_vs_prior,0,0.0,434,-0.07449638655593382,-0.010602358788478027,-0.0001615251008330043,0.010669492338450038,0.019914354281194147,0.00544795667931188,False,False
atr_open_to_1500,0,0.0,434,0.9510000000000025,1.2151784848484841,2.3856363636363698,7.788072424242444,15.38369696969695,1.3709438218431726,False,False
observations_before_1500,0,0.0,1,330.0,330.0,330.0,330.0,330.0,0.0,True,True
missing_spx_before_1500,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,True
missing_vix_before_1500,0,0.0,8,1.0,1.0,1.0,5.0,9.0,0.8743162235609235,False,False
