feature,training_median,lower_quantile,lower_value,upper_quantile,upper_value,training_missing
spx_at_1500,5940.78,0.01,5105.8116,0.99,6850.7155999999995,0
vix_level_1500,17.67,0.01,13.661,0.99,42.092600000000054,0
spy_at_1500,592.07,0.01,508.90909800000003,0.99,683.1333999999999,0
ret_open_to_1500,9.111161530173106e-05,0.01,-0.02211599539588766,0.99,0.01797940059815936,0
ret_last_15m,1.2149339683409366e-05,0.01,-0.005643646972723013,0.99,0.0023856233017001617,0
ret_last_30m,0.00012484124355194304,0.01,-0.006219386713985988,0.99,0.00512138290778975,0
ret_last_60m,3.340286696795758e-05,0.01,-0.009757389922078816,0.99,0.007468600934414995,0
vix_ret_last_15m,-0.002009040683073837,0.01,-0.02848257832011108,0.99,0.04695860606819173,0
vix_ret_last_30m,-0.0037476577139288203,0.01,-0.03882077943241771,0.99,0.05498744631359154,0
vix_ret_last_60m,-0.006549118387909503,0.01,-0.055864770761731464,0.99,0.07490516754995155,0
realized_vol_30m,0.0012163909321105681,0.01,0.0004854460323840162,0.99,0.006569502202447846,0
realized_vol_60m,0.001816612279799942,0.01,0.0007221230701477862,0.99,0.010897769222340314,0
realized_vol_120m,0.0026640486686745164,0.01,0.001124408842917499,0.99,0.014889201904148242,0
rv_open_to_1500,0.005574735335099992,0.01,0.0026194620176291,0.99,0.02276180399733845,0
spy_ret_open_to_1500,-7.599477155983969e-05,0.01,-0.022775560030002945,0.99,0.01749396244931402,0
spy_volume_last_30m,2915858.0,0.01,1128841.88,0.99,11979680.72000003,0
spy_volume_last_60m,5901091.0,0.01,2310864.16,0.99,20400339.280000027,0
spy_cum_volume_to_1500,38420138.0,0.01,16473161.62,0.99,120832333.54000016,0
spy_volume_accel_60m_vs_avg,-0.18250866567202106,0.01,-0.5615023522889794,0.99,1.8695754690191848,0
spy_dist_from_vwap_pct,0.0005285071367895355,0.01,-0.013280240152314625,0.99,0.008391411017126177,0
position_in_day_range,0.5872327238921546,0.01,0.009694287601368784,0.99,0.9906908021498916,0
dist_from_day_high_pct,-0.0033903521480688203,0.01,-0.02706959245197021,0.99,-8.94808398370385e-05,0
dist_from_day_low_pct,0.0046602265156563405,0.01,8.608753214581544e-05,0.99,0.022829518082818512,0
dist_from_open_pct,9.111161530173106e-05,0.01,-0.02211599539588766,0.99,0.01797940059815936,0
momentum_accel_60m_vs_prior,5.33070171869765e-05,0.01,-0.014947400597874843,0.99,0.011630542471193873,0
atr_open_to_1500,2.1784848484848363,0.01,1.1570363636363554,0.99,8.039129696969699,0
missing_vix_before_1500,1.0,0.01,1.0,0.99,4.980000000000018,0
